Fish ID,Genotype,WT(g),LogWT,Elevation (m),LDH (IU/mg protein),LogLDH,CS (IU/mg protein,LogCS,OCR (mgO2/hr),LogOCR,AchE (uM/min/ml),LogAchE
Vi1-61,WCT,76.2,1.882,1539,,,,,,,47.96,1.681
Vi1-62,WCT,262.5,2.419,1539,,,,,,,37.55,1.575
Vi1-63,WCT,77.5,1.889,1539,,,,,,,42.50,1.628
Vi1-64,WCT,320.9,2.506,1539,,,,,,,25.59,1.408
Vi1-65,WCT,327.5,2.515,1539,,,,,,,30.42,1.483
Vi1-66,HYB,34.2,1.534,1539,,,,,,,61.52,1.789
Vi1-67,WCT,21.6,1.334,1539,,,,,,,34.53,1.538
Vi1-68,HYB,26.2,1.418,1539,,,,,,,71.45,1.854
Vi1-69,WCT,20.0,1.302,1539,,,,,,,64.60,1.810
Vi1-70,WCT,19.0,1.279,1539,,,,,,,55.52,1.744
Vi2-01,WCT,168.1,2.22556771,1692,1.49125296,0.17355132,,,,,,
Vi2-02,WCT,217.8,2.33805788,1692,2.11716621,0.32575495,,,,,,
Vi2-03,HYB,107.3,2.03059972,1692,1.48051948,0.17041413,,,,,,
Vi2-04,WCT,235.7,2.37235958,1692,1.8206278,0.26022117,,,,,,
Vi2-05,WCT,145.5,2.16286299,1692,3.50348028,0.54449968,,,,,,
Vi2-06,WCT,103.8,2.01619735,1692,,,,,,,,
Vi2-07,WCT,143.8,2.15775889,1692,3.10670732,0.49230034,,,,,,
Vi2-08,WCT,121.3,2.0838608,1692,1.62177986,0.2099919,,,,,,
Vi2-09,HYB,99.8,1.99913054,1692,1.94690266,0.28934424,,,,,,
Vi2-10,WCT,169.4,2.22891341,1692,2.19493671,0.341422,,,,,,
Vi2-11,WCT,128.8,2.10991586,1692,2.47487437,0.39355316,,,,,,
Vi2-12,WCT,112.1,2.04960561,1692,2.01162791,0.30354765,,,,,,
Vi2-13,WCT,150.8,2.17840134,1692,1.75603217,0.24453247,,,,,,
Vi2-14,WCT,114.3,2.05804623,1692,1.75806452,0.24503481,,,,,,
Vi2-15,WCT,79,1.89762709,1692,2.17375887,0.33721137,,,,,,
Vi2-26,WCT,149.4,2.1743506,1692,2.2,0.34242268,,,,,,
Ho1-01,WCT,86.1,1.93500315,1692,,,,,13.3166667,1.12439553,,
Ho1-05,WCT,47.8,1.6794279,1692,,,,,5.6785,0.75423363,,
Ho1-08,WCT,41.3,1.61595005,1692,,,,,7.3,0.86332286,,
Ho1-11,WCT,42.3,1.62634037,1692,,,,,6.82,0.83378437,,
Ho1-14,WCT,23.4,1.36921586,1692,,,,,5.36,0.72916479,,
Ho1-18,WCT,55.8,1.7466342,1692,,,,,6.22,0.79379038,,
Ho1-22,WCT,42.9,1.63245729,1692,,,,,6.55,0.8162413,,
Ho1-24,WCT,43,1.63346846,1692,,,,,6.36,0.80345712,,
Ho1-28,WCT,32.8,1.51587384,1692,,,,,6.67,0.82412583,,
Li1-01,WCT,74.7,1.8733206,1661,,,,,7.35448454,0.86655224,,
Li1-05,WCT,77.6,1.88986172,1661,,,,,14.12,1.1498347,,
Li1-09,WCT,41.5,1.6180481,1661,,,,,6.9,0.83884909,,
Li1-12,WCT,35.4,1.54900326,1661,,,,,7.77,0.89042102,,
Li1-20,WCT,39.7,1.59879051,1661,,,,,7.26,0.86093662,,
Li1-30,WCT,56.1,1.74896286,1661,,,,,6.76,0.8299467,,
Li2-02,WCT,64.2,1.80753503,1722,,,,,8.27,0.91750551,,
Li2-06,WCT,123.5,2.09166696,1722,,,,,11.82,1.07261748,,
Li2-08,WCT,31.1,1.49276039,1722,,,,,6.52941177,0.81487406,,
Li2-14,WCT,32.1,1.50650503,1722,,,,,5.73947368,0.75887207,,
Li2-15,WCT,36.5,1.56229286,1722,,,,,5.79166667,0.76280356,,
Be1-02,WCT,74.9,1.87448182,1684,,,,,8.41122995,0.92485951,,
Be1-04,WCT,62,1.79239169,1684,,,,,8.26,0.91698005,,
Be1-08,WCT,60.4,1.78103694,1684,,,,,7.77,0.89042102,,
Be1-13,WCT,54.7,1.73798733,1684,,,,,9.16,0.96189547,,
Be1-15,WCT,53.8,1.73078228,1684,,,,,8.29,0.91855453,,
